ID,adj.P.Val,P.Value,t,B,logFC,GI,Gene.symbol,Gene.title,,,,,,,,,,,,
ILMN_1904628,0.000045,2.09E-09,-6.67567713,11.2505,-3.23E-01,7910805,,,,,,,,,,,,,,
ILMN_1707283,0.000045,2.77E-09,-6.61352461,10.97121,-1.51E-01,62739160,LLGL2,"LLGL2,",scribble,cell,polarity,complex,component,,,,,,,
ILMN_1769637,0.000045,1.98E-09,-6.68781111,10.60852,-3.16E-01,815891225,RNMT,RNA,guanine-7,methyltransferase,,,,,,,,,,
ILMN_2222688,0.0000546,6.71E-09,6.41657184,9.98369,4.76E-01,169259767,TMSB4X,thymosin,beta,"4,",X-linked,,,,,,,,,
ILMN_1801822,0.0000515,4.22E-09,-6.51983526,9.90323,-3.20E-01,116292175,C18orf25,chromosome,18,open,reading,frame,25,,,,,,,
ILMN_1684594,0.0000546,6.25E-09,-6.43236927,9.60559,-3.21E-01,NA,,,,,,,,,,,,,,
ILMN_1663631,0.0000733,1.05E-08,-6.31597,8.97468,-4.52E-01,109698608,BANP,BTG3,associated,nuclear,protein,,,,,,,,,
ILMN_1733875,0.0001596,2.62E-08,-6.11023211,8.4908,-2.58E-01,1008909318,RUNDC1,RUN,domain,containing,1,,,,,,,,,
ILMN_1833858,0.0003004,5.54E-08,-5.93895135,7.91371,-4.87E-01,2795905,ADD2,adducin,2,,,,,,,,,,,
ILMN_1685985,0.0003654,7.68E-08,5.86381438,7.81356,3.10E-01,NA,,,,,,,,,,,,,,
ILMN_1740490,0.0003654,8.24E-08,-5.84768788,7.64977,-2.80E-01,1013383403,ZFP82,ZFP82,zinc,finger,protein,,,,,,,,,
ILMN_1668927,0.0003731,9.17E-08,-5.82276551,7.62261,-2.44E-01,NA,,,,,,,,,,,,,,
ILMN_1701558,0.0004567,1.50E-07,-5.70903868,7.18697,-1.96E-01,95147554,MAP1A,microtubule,associated,protein,1A,,,,,,,,,
ILMN_1720838,0.0004269,1.14E-07,5.77300747,7.02257,3.53E-01,4503300,DECR1,"2,4-dienoyl-CoA",reductase,"1,",mitochondrial,,,,,,,,,
ILMN_1687824,0.0004567,1.41E-07,5.72276569,7.00251,3.15E-01,530788260,SEPHS2,selenophosphate,synthetase,2,,,,,,,,,,
ILMN_1728074,0.0004567,1.45E-07,5.71646971,6.96784,2.79E-01,301336152,PHAX,phosphorylated,adaptor,for,RNA,export,,,,,,,,
ILMN_1744089,0.0005589,1.95E-07,5.647663,6.77557,1.37E-01,NA,,,,,,,,,,,,,,
ILMN_1743783,0.0006303,2.32E-07,5.60607473,6.76215,2.72E-01,151101336,CCDC43,coiled-coil,domain,containing,43,,,,,,,,,
ILMN_2173919,0.0006418,2.63E-07,-5.57705935,6.47261,-2.82E-01,365192551,MYO9A,myosin,IXA,,,,,,,,,,,
ILMN_1768809,0.0007154,3.23E-07,-5.5289599,6.43572,-2.12E-01,1015809722,ZNF134,zinc,finger,protein,134,,,,,,,,,
ILMN_1768176,0.0006305,2.45E-07,5.59328356,6.39719,3.01E-01,32306538,PBDC1,polysaccharide,biosynthesis,domain,containing,1,,,,,,,,
ILMN_1660477,0.0007728,4.12E-07,5.47112273,6.23583,3.63E-01,NA,,,,,,,,,,,,,,
ILMN_1750521,0.0007728,4.07E-07,5.47391846,6.2199,2.55E-01,215272349,UCP3,uncoupling,protein,3,,,,,,,,,,
ILMN_1691436,0.0007154,3.22E-07,5.52918711,6.19115,3.48E-01,40353771,BLVRA,biliverdin,reductase,A,,,,,,,,,,
ILMN_1867321,0.000804,4.45E-07,-5.4527707,6.16457,-1.90E-01,27879288,,,,,,,,,,,,,,
ILMN_1742611,0.0007728,3.79E-07,-5.49053087,6.0448,-2.71E-01,197313753,C1orf52,chromosome,1,open,reading,frame,52,,,,,,,
ILMN_2062112,0.0007728,4.02E-07,5.47701677,6.04226,3.60E-01,118150659,ZC3H15,zinc,finger,CCCH-type,containing,15,,,,,,,,
ILMN_2197659,0.0008328,5.12E-07,5.41950305,5.95033,1.89E-01,332309205,SLC14A1,solute,carrier,family,14,member,1,(Kidd,blood,group),,,,
ILMN_1903085,0.0008328,4.96E-07,-5.42702435,5.87508,-1.33E-01,4439974,,,,,,,,,,,,,,
ILMN_1777759,0.0008969,6.26E-07,-5.37126169,5.83199,-2.09E-01,333609273,FIGNL2,fidgetin,like,2,,,,,,,,,,
ILMN_2103388,0.0008969,6.83E-07,-5.35039913,5.73789,-2.06E-01,223972644,ZBTB49,zinc,finger,and,BTB,domain,containing,49,,,,,,
ILMN_2373010,0.0008969,6.98E-07,5.34508629,5.72088,3.91E-01,289191373,TMEM70,transmembrane,protein,70,,,,,,,,,,
ILMN_1680354,0.0008969,6.16E-07,-5.37526474,5.69909,-1.38E-01,NA,,,,,,,,,,,,,,
ILMN_1729453,0.0009152,7.31E-07,-5.33400424,5.6957,-2.50E-01,270132562,TSPAN9,tetraspanin,9,,,,,,,,,,,
ILMN_1653709,0.0008969,6.44E-07,5.36464361,5.68487,3.21E-01,751247008,TIMM9,translocase,of,inner,mitochondrial,membrane,9,,,,,,,
ILMN_2181968,0.0008969,6.82E-07,5.35061264,5.61394,3.51E-01,379317151,CBL,Cbl,proto-oncogene,,,,,,,,,,,
ILMN_1662161,0.0008969,6.83E-07,-5.35049481,5.60213,-2.29E-01,557947963,TBC1D13,TBC1,domain,family,member,13,,,,,,,,
ILMN_1663415,0.0009521,7.85E-07,5.31704904,5.59823,2.55E-01,NA,,,,,,,,,,,,,,
ILMN_1734602,0.0008328,5.12E-07,-5.41933158,5.54971,-3.20E-01,118572612,SRRM2,serine/arginine,repetitive,matrix,2,,,,,,,,,
ILMN_1679324,0.0008969,6.80E-07,5.35145642,5.52988,2.78E-01,49574539,EIF1B,eukaryotic,translation,initiation,factor,1B,,,,,,,,
ILMN_1700810,0.0009521,9.31E-07,5.27585084,5.45413,2.51E-01,NA,,,,,,,,,,,,,,
ILMN_1654851,0.0009521,8.54E-07,-5.29680301,5.39616,-2.46E-01,1007366674,FAM134A,family,with,sequence,similarity,134,member,A,,,,,,
ILMN_1728540,0.0009521,9.54E-07,5.26992332,5.36156,2.61E-01,216547843,FUNDC1,FUN14,domain,containing,1,,,,,,,,,
ILMN_1764186,0.0009521,8.56E-07,-5.29620862,5.33577,-2.43E-01,401709969,ATXN1L,ataxin,1,like,,,,,,,,,,
ILMN_2290776,0.0010319,1.08E-06,-5.24043089,5.32766,-1.94E-01,118421090,AGBL5,ATP/GTP,binding,protein,like,5,,,,,,,,
ILMN_1716026,0.0009521,9.39E-07,5.27377776,5.32035,2.94E-01,57546907,ARMCX6,armadillo,repeat,"containing,",X-linked,6,,,,,,,,
ILMN_1702489,0.0009521,8.80E-07,5.28953345,5.317,1.29E-01,378744182,TRIM63,tripartite,motif,containing,63,,,,,,,,,
ILMN_1672589,0.0009603,9.84E-07,-5.26260476,5.27447,-3.78E-01,155029562,SEMA4B,semaphorin,4B,,,,,,,,,,,
ILMN_1748650,0.0009521,9.37E-07,5.27431376,5.27287,3.21E-01,633257784,MRPL45,mitochondrial,ribosomal,protein,L45,,,,,,,,,
ILMN_1793371,0.0009521,8.14E-07,-5.3082658,5.26116,-3.02E-01,297206750,KIAA0430,KIAA0430,,,,,,,,,,,,
ILMN_1712577,0.0010735,1.14E-06,-5.22614501,5.2197,-2.61E-01,745399075,FAM174A,family,with,sequence,similarity,174,member,A,,,,,,
ILMN_1784299,0.0009521,9.56E-07,5.269535,5.21296,3.42E-01,34147352,C19orf43,chromosome,19,open,reading,frame,43,,,,,,,
ILMN_1692260,0.0010769,1.21E-06,-5.2115559,5.16732,-2.41E-01,338753367,MAFG,MAF,bZIP,transcription,factor,G,,,,,,,,
ILMN_1838357,0.0010769,1.17E-06,-5.22000256,5.08381,-1.17E-01,21749102,LOC728283,uncharacterized,LOC728283,,,,,,,,,,,
ILMN_1818632,0.0010769,1.26E-06,-5.20311278,5.07978,-5.96E-01,27844768,,,,,,,,,,,,,,
ILMN_1678087,0.0010769,1.21E-06,-5.21313121,5.04511,-2.27E-01,666637973,MAP3K4,mitogen-activated,protein,kinase,kinase,kinase,4,,,,,,,
ILMN_1726199,0.0011504,1.41E-06,-5.1745931,5.03754,-2.94E-01,NA,,,,,,,,,,,,,,
ILMN_1720858,0.0010769,1.24E-06,5.20701717,5.03557,4.47E-01,153792370,ABRACL,ABRA,C-terminal,like,,,,,,,,,,
ILMN_1805996,0.0011154,1.33E-06,-5.19034337,4.90544,-2.27E-01,223941787,SIN3A,SIN3,transcription,regulator,family,member,A,,,,,,,
ILMN_2376625,0.001148,1.39E-06,5.17919857,4.8963,4.10E-01,319655737,VHL,von,Hippel-Lindau,tumor,suppressor,,,,,,,,,
ILMN_1769451,0.0012131,1.60E-06,-5.14376221,4.76965,-2.49E-01,523567544,ILVBL,ilvB,acetolactate,synthase,like,,,,,,,,,
ILMN_2206344,0.0012461,1.69E-06,-5.13185159,4.76116,-2.39E-01,223555984,NDST2,N-deacetylase,and,N-sulfotransferase,2,,,,,,,,,
ILMN_1679727,0.0012126,1.53E-06,-5.15591893,4.75055,-3.93E-01,NA,,,,,,,,,,,,,,
ILMN_1694759,0.0013586,1.92E-06,5.09963907,4.745,2.31E-01,115430212,SMIM7,small,integral,membrane,protein,7,,,,,,,,
ILMN_1715994,0.0012126,1.54E-06,-5.15376903,4.72895,-2.24E-01,315138978,HGS,hepatocyte,growth,factor-regulated,tyrosine,kinase,substrate,,,,,,,
ILMN_1781236,0.0013586,1.88E-06,5.10533457,4.71867,3.61E-01,NA,,,,,,,,,,,,,,
ILMN_1783709,0.0012131,1.59E-06,-5.14651571,4.70234,-2.17E-01,57863286,RRAGA,Ras,related,GTP,binding,A,,,,,,,,
ILMN_2092232,0.0013586,1.93E-06,5.09882233,4.67969,1.40E-01,39780587,TSR1,"TSR1,",ribosome,maturation,factor,,,,,,,,,
ILMN_1691506,0.0012131,1.62E-06,-5.14214168,4.67192,-2.72E-01,NA,,,,,,,,,,,,,,
